time,x,y,theta,v,omega
7.7,13.922704772547135,5.641786607781132,0.77,2.0,0.1
7.800000000000001,14.065588384008205,5.781729239754454,0.7800000000000001,2.0,0.1
7.9,14.207065448352157,5.923093686955278,0.79,2.0,0.1
8.0,14.347121817990455,6.065865813056693,0.8,2.0,0.1
8.1,14.485743487402852,6.210031340965061,0.81,2.0,0.1
8.200000000000001,14.62291659453792,6.355575854247732,0.8200000000000002,2.0,0.1
8.3,14.758627422199256,6.50248479857466,0.8300000000000001,2.0,0.1
8.4,14.892862399417188,6.65074348317384,0.8400000000000001,2.0,0.1
8.5,15.025608102805855,6.800337082300358,0.8500000000000001,2.0,0.1
8.6,15.15685125790554,6.951250636718962,0.86,2.0,0.1
8.700000000000001,15.286578740510103,7.103469055199978,0.8700000000000001,2.0,0.1
8.8,15.414777577979388,7.2569771160283985,0.8800000000000001,2.0,0.1
8.9,15.541434950536479,7.411759468526064,0.8900000000000001,2.0,0.1
9.0,15.666538192549668,7.567800634586712,0.9,2.0,0.1
9.1,15.79007479379901,7.7250850102237685,0.91,2.0,0.1
9.200000000000001,15.912032400727323,7.883596867130747,0.9200000000000002,2.0,0.1
9.3,16.032398817675542,8.043320354254037,0.9300000000000002,2.0,0.1
9.4,16.151162008102286,8.204239499378037,0.9400000000000001,2.0,0.1
9.5,16.268310095787474,8.366338210722331,0.9500000000000001,2.0,0.1
9.600000000000001,16.38383136601997,8.52960027855087,0.9600000000000002,2.0,0.1
9.700000000000001,16.497714266769,8.694009376792916,0.9700000000000002,2.0,0.1
9.8,16.60994740983941,8.859549064675656,0.9800000000000001,2.0,0.1
9.9,16.720519572010414,9.026202788368249,0.9900000000000001,2.0,0.1
